"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",16,8,277,460,382.2
"caca",22,8,60,81,70.6
"caco",20,8,118,550,357.3
"cagl",60,12,231,1015,540.8
"caovl",20,8,236.1,565,392.9
"cato",28,10,131,496,282.2
"ceca",14,6,78,155.4,106.8
"cofl",2,2,70,70,70
"fagr",30,24,69,1072,247.3
"fram",2,0,NA,NA,NA
"juni",26,10,197,903,460.3
"litu",410,70,117.2,1205,560.8
"nysy",16,8,98.8,434.6,237.5
"pist",16,8,217.8,452,345
"ploc",12,0,NA,NA,NA
"qual",110,52,368.5,1056,655
"qupr",24,6,256,834,589.9
"quru",90,52,133,1265.5,759.6
"quve",54,14,294,1118.5,667.4
"ulru",12,0,NA,NA,NA
NA,NA,NA,NA,NA,NA
"tiam",16,8,177,370,268.5
"Sum",1000,314,NA,NA,NA
