"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"Sum",549,146,NA,NA,NA
"acru",7,0,277,715,494.8
"caca",15,14,60,116,82.5
"caco",10,1,118,1015,430.4
"cagl",30,3,68,617,297.2
"caovl",3,0,241.3,565,431.8
"cato",10,0,55.1,1015,315.3
"ceca",1,0,155.4,155.4,155.4
"cofl",1,1,70,70,70
"fagr",14,13,57.8,1072,228.7
"fram",30,1,106,1531,599.1
"juni",11,1,310.4,903,502.4
"litu",227,43,96.2,1422.3,606.4
"nysy",9,1,89.2,434.6,221.6
"pist",6,0,149.3,452,300.1
"ploc",5,0,576.8,961.6,783.4
"qual",60,32,147.8,1056,590.1
"qupr",14,0,256,867,588
"quru",57,34,123,1531,713.5
"quve",34,1,114,1520,770.4
"ulru",3,0,106.5,246,159.5
NA,NA,NA,NA,NA,NA
"tiam",2,1,258.5,280.7,269.6
