"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"caco",4,0,118,550,314.7
"cagl",4,0,68,1015,322.4
"cato",4,0,55.1,496,239.7
"fagr",1,1,57.8,1072,234.8
"fram",8,0,106,1087,611.2
"juni",1,0,310.4,903,502.4
"litu",13,1,96.2,1422.3,603
"nysy",1,0,89.2,434.6,221.6
"qual",8,0,147.8,1056,595.6
"qupr",5,0,256,867,578.5
"quru",9,1,113.5,1531,711.6
"quve",6,0,114,1520,756.1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Sum",64,3,NA,NA,NA
