"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",8,4,162,768,485.9
"caca",11,4,50,109,85.8
"caco",10,4,124,575,274.2
"cagl",31,6,68,811,334.9
"caovl",10,4,125,579,299.3
"cato",14,5,62,511,213.9
"ceca",7,3,91,164,121.6
"cofl",1,1,74,74,74
"fagr",15,12,72,1109,330.3
"fram",1,0,114,114,114
"juni",12,5,140,955,484.3
"litu",204,34,106,1354,646.8
"nysy",8,4,98,439,245.5
"pist",8,4,148,508,313.6
"ploc",6,0,474,1014,775.5
"qual",54,25,149,1077,618.8
"qupr",12,3,134,889,475.2
"quru",44,24,304,1353,762.1
"quve",27,6,120,1150,656.6
"ulru",6,0,114,268,159.5
NA,NA,NA,NA,NA,NA
"tiam",7,3,147,392,243.6
"Sum",496,151,NA,NA,NA
