"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",8,4,277,460,382.2
"caca",11,4,60,81,70.6
"caco",12,5,118,550,333.1
"cagl",28,6,184,617,355.3
"caovl",8,3,241.3,565,445.1
"cato",14,5,131,1015,433.5
"ceca",8,4,78,155.4,103.3
"cofl",1,1,70,70,70
"fagr",12,12,69,1072,247.3
"fram",1,0,NA,NA,NA
"juni",13,5,197,903,460.3
"litu",208,37,117.2,1422.3,592.5
"nysy",8,4,98.8,434.6,237.5
"pist",8,4,217.8,452,345
"ploc",6,0,NA,NA,NA
"qual",55,26,368.5,1056,655
"qupr",12,5,256,867,695.7
"quru",50,26,123,1265.5,757.1
"quve",25,7,294,1118.5,688.5
"ulru",7,0,NA,NA,NA
NA,NA,NA,NA,NA,NA
"tiam",8,4,160,370,241.4
"Sum",503,162,NA,NA,NA
