"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",7,0,277,715,489.2
"caca",18,15,60,116,80.7
"caco",9,2,105.8000031,460.2000122,311
"cagl",28,3,66.19999695,617,295.3
"caovl",3,0,241.3000031,552,427.5
"cato",7,0,55.09999847,993.4000244,338.9
"ceca",4,0,0,155.3999939,68.9
"cofl",1,1,70,70,70
"fagr",14,13,57.79999924,1046.800049,227.1
"fram",37,0,0,1072.099976,619.3
"juni",12,1,310.3999939,903,504.1
"litu",236,43,96.19999695,1422.300049,592.7
"nysy",9,1,89.19999695,434.6000061,221.5
"pist",6,0,149.3000031,452,292.8
"ploc",5,0,576.7999878,961.5999756,783.4
"qual",53,33,147.8000031,1031.900024,608.5
"qupr",10,0,256,867,630.7
"quru",57,36,113.5,1483,722.1
"quve",34,0,422.5,1520,795.6
"rops",1,0,460.2000122,460.2000122,460.2
"saal",1,0,456.1000061,456.1000061,456.1
"tiam",2,1,258.5,280.7000122,269.6
"ulru",7,0,0,246,86.8
"Sum",561,149,NA,NA,NA
