"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",7,0,NA,NA,NA
"caca",3,0,78.8,107.2,88.7
"caco",6,0,104.9,463.1,327.3
"cagl",24,0,64.6,991.2,392
"caovl",5,0,230.8,547,353.7
"cato",8,0,111,534.5,284
"ceca",4,0,55.8,139.1,82.6
"fagr",2,0,151.4,1030.4,590.9
"fram",38,0,142,1053.4,624.8
"frni",1,0,278.8,278.8,278.8
"juni",11,0,288.4,854,487.5
"litu",221,33,95.2,1365.2,594.4
"nysy",9,0,44.3,993.2,338.8
"pist",6,0,206.3,418,285.8
"ploc",5,0,563.3,929.5,758.2
"prse",1,0,931,931,931
"qual",52,33,144.8,1017.5,596.7
"qupr",9,0,294,845.9,608.7
"quru",55,33,111,1432.1,721.9
"rops",1,0,461,461,461
"saal",1,0,451,451,451
"quve",38,3,410.3,1502.4,752.3
"Sum",515,102,NA,NA,NA
