"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",7,0,277,715,489.2
"caca",15,14,60,116,79.5
"caco",4,1,193.4,446.7,321.8
"cagl",28,3,66.2,993.4,321.6
"caovl",5,0,236.1,552,366.4
"cato",6,0,55.1,274.2,200.8
"ceca",1,0,155.4,155.4,155.4
"cofl",1,1,70,70,70
"fagr",14,13,57.8,1046.8,227.1
"fram",33,0,145.7,1072.1,628.8
"juni",12,1,310.4,903,504.1
"litu",229,43,96.2,1422.3,602.8
"nysy",9,1,89.2,434.6,221.5
"pist",6,0,149.3,452,292.8
"ploc",5,0,576.8,961.6,783.4
"prse",1,0,939.1,939.1,939.1
"qual",52,33,147.8,1031.9,607.9
"qupr",9,0,256,867,621.6
"quru",48,32,113.5,1483,722.5
"tiam",2,1,258.5,280.7,269.6
"ulru",3,0,106.5,246,159.5
"quve",34,3,422.5,1520,794.2
"Sum",524,146,NA,NA,NA
