"sp","biannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",2,385,397.8,391.4
"caca",3,78.8,107.2,88.7
"caco",7,104.9,463.1,293.6
"cagl",8,113.1,479.4,275.9
"caovl",1,456.8,456.8,456.8
"cato",1,991.2,991.2,991.2
"fagr",1,1030.4,1030.4,1030.4
"fram",20,412,1053.4,823.8
"juni",3,421,854,602.4
"litu",100,183.3,1365.2,700.1
"nysy",1,432.3,432.3,432.3
"pist",1,418,418,418
"ploc",4,396,929.5,763.4
"qual",19,428,1017.5,718.1
"qual ",1,839.8,839.8,839.8
"qupr",4,654.1,845.9,783.3
"quru",34,532.8,1432.1,859.7
"quve",29,410.3,1502.4,800.9
"quve ",1,857,857,857
"tiam",2,257.2,875.2,566.2
"ulru",1,142.4,142.4,142.4
"Sum",243,NA,NA,NA
