tag,stemtag,sp,quadrat,survey.ID,year,month,day,measure,codes,notes,field.recorders,data.enter,location
10671,1,quru,114,2019.07,2019,June,20,45.51,,,Ian McGregor,Ian McGregor,South
12025,1,quru,117,2019.07,2019,June,20,35.42,,,Ian McGregor,Ian McGregor,North
30225,1,qual,306,2019.07,2019,June,20,29.16,,,Ian McGregor,Ian McGregor,South
30233,1,fagr,306,2019.07,2019,June,20,15.02,,,Ian McGregor,Ian McGregor,South
30234,1,fagr,306,2019.07,2019,June,20,11.99,,,Ian McGregor,Ian McGregor,South
30331,1,cagl,306,2019.07,2019,June,20,40.6,,,Ian McGregor,Ian McGregor,South
30333,1,fagr,306,2019.07,2019,June,20,44.97,,,Ian McGregor,Ian McGregor,South
30339,1,litu,307,2019.07,2019,June,20,73.99,,,Ian McGregor,Ian McGregor,South
30339,2,litu,307,2019.07,2019,June,20,40.5,,double-checked measurement,Ian McGregor,Ian McGregor,South
30339,3,litu,307,2019.07,2019,June,20,39.35,,,Ian McGregor,Ian McGregor,South
30512,1,quru,313,2019.07,2019,June,20,15.75,,,Ian McGregor,Ian McGregor,South
30467,1,litu,314,2019.07,2019,June,20,97.45,,,Ian McGregor,Ian McGregor,South
32126,1,litu,321,2019.07,2019,June,20,70.21,,,Ian McGregor,Ian McGregor,North
40562,1,fagr,406,2019.07,2019,June,20,9.33,,,Ian McGregor,Ian McGregor,South
40563,1,fagr,406,2019.07,2019,June,20,25.42,,,Ian McGregor,Ian McGregor,South
40564,1,fagr,406,2019.07,2019,June,20,21.09,,,Ian McGregor,Ian McGregor,South
40565,1,cagl,406,2019.07,2019,June,20,8.1,,,Ian McGregor,Ian McGregor,South
40566,1,cagl,406,2019.07,2019,June,20,13.85,,,Ian McGregor,Ian McGregor,South
40567,1,fagr,406,2019.07,2019,June,20,9.31,,,Ian McGregor,Ian McGregor,South
40568,1,fagr,406,2019.07,2019,June,20,121.39,,,Ian McGregor,Ian McGregor,South
40569,1,litu,407,2019.07,2019,June,20,78.81,,,Ian McGregor,Ian McGregor,South
50364,1,qual,507,2019.07,2019,June,20,122.4,F,,Ian McGregor,Ian McGregor,South
50650,1,litu,514,2019.07,2019,June,20,18.67,,,Ian McGregor,Ian McGregor,South
50654,1,litu,514,2019.07,2019,June,20,43.88,,,Ian McGregor,Ian McGregor,South
52190,1,quru,522,2019.07,2019,June,20,103.14,,,Ian McGregor,Ian McGregor,North
60456,1,caca,614,2019.07,2019,June,20,9.42,,,Ian McGregor,Ian McGregor,South
60457,1,caca,614,2019.07,2019,June,20,11.93,,,Ian McGregor,Ian McGregor,South
60562,1,fagr,614,2019.07,2019,June,20,7.53,,,Ian McGregor,Ian McGregor,South
60563,1,caca,614,2019.07,2019,June,20,10.91,,,Ian McGregor,Ian McGregor,South
60566,1,fagr,614,2019.07,2019,June,20,96.48,,,Ian McGregor,Ian McGregor,South
60567,1,litu,614,2019.07,2019,June,20,60.25,,,Ian McGregor,Ian McGregor,South
60568,1,caca,614,2019.07,2019,June,20,9.88,,,Ian McGregor,Ian McGregor,South
60569,1,caca,614,2019.07,2019,June,20,9.99,,,Ian McGregor,Ian McGregor,South
60571,1,caca,614,2019.07,2019,June,20,24.17,,,Ian McGregor,Ian McGregor,South
60573,1,tiam,614,2019.07,2019,June,20,30.87,,,Ian McGregor,Ian McGregor,South
60458,1,fagr,615,2019.07,2019,June,20,20.44,,,Ian McGregor,Ian McGregor,South
60459,1,fagr,615,2019.07,2019,June,20,18.46,,,Ian McGregor,Ian McGregor,South
60462,1,fagr,615,2019.07,2019,June,20,70.08,,,Ian McGregor,Ian McGregor,South
60463,1,juni,615,2019.07,2019,June,20,49.18,,,Ian McGregor,Ian McGregor,South
60468,1,caca,615,2019.07,2019,June,20,8.43,,,Ian McGregor,Ian McGregor,South
60469,1,cofl,615,2019.07,2019,June,20,10.02,,,Ian McGregor,Ian McGregor,South
60576,1,caca,615,2019.07,2019,June,20,16.44,,,Ian McGregor,Ian McGregor,South
