sp,quadrat,lx,ly,tag ,stemtag,census#,exactdate,measure,codes,status,notes,N/S
litu,109,9.7,1.0,10469,1,,,,,,,S
litu,113,2.6,13.0,10587,1,,,,,,,S
cagl,111,19.5,2.9,10609,1,,,,,,,S
quru,114,6.2,14.5,10671,1,,,,,,,S
quru,117,15.0,16.3,12025,1,,,,,,,N
quru,120,10.7,1.9,12101,1,,,,,,,N
litu,125,16.3,1.5,12259,1,,,,,,,N
tiam,125,19.4,19.6,12270,1,,,,,,,N
caca,126,11.7,0.6,12308,1,,,,,,,N
litu,131,10.7,10.4,12508,1,,,,,,,N
fram,204,3.5,19.8,20432,1,,,,,,,S
litu,208,14.8,1.3,20587,1,,,,,,,S
fram,208,6.0,12.8,20603,1,,,,,,,S
litu,209,6.9,7.6,20617,1,,,,,,,S
litu,212,1.5,8.3,20712,1,,,,,,,S
litu,217,11.4,1.7,22004,2,,,,,,,N
litu,217,1.8,19.0,22041,1,,,,,,,N
litu,221,7.9,13.8,22170,1,,,,,,,N
fram,226,5.5,2.7,22333,1,,,,,,,N
fram,302,4.6,2.7,30039,1,,,,,,,S
qual,306,20,3.1,30225,1,,,,,,,S
fagr,306,15.6,16.2,30233,1,,,,,,,S
fagr,306,15.3,18.5,30234,1,,,,,,,S
cagl,306,8.3,19.5,30331,1,,,,,,,S
fagr,306,14,19.3,30333,1,,,,,,,S
litu,307,8.6,4.1,30339,1,,,,,,,S
litu,307,8.6,4.1,30339,2,,,,,,,S
litu,307,8.6,4.1,30339,3,,,,,,,S
quru,307,17.9,8,30343,1,,,,,,,S
fram,308,19.6,1.8,30365,1,,,,,,,S
litu,313,16.2,19.0,30462,1,,,,,,,S
litu,314,17.3,3.0,30467,1,,,,,,,S
quru,313,2.9,14.3,30512,1,,,,,,,S
quve,316,2.2,14.4,30584,1,,,,,,,N
litu,319,6.5,11.5,32084,1,,,,,,,N
litu,320,17.9,3.0,32097,1,,,,,,,N
litu,321,9.6,5.0,32126,1,,,,,,,N
qupr,327,4.6,12.8,32381,1,,,,,,,N
litu,329,17.6,13.1,32423,1,,,,,,,N
qupr,332,19.9,15.6,32540,1,,,,,,,N
fagr,406,6.3,16.2,40562,1,,,,,,,S
fagr,406,3.6,17.8,40563,1,,,,,,,S
fagr,406,2.4,12.4,40564,1,,,,,,,S
cagl,406,1.9,10.1,40565,1,,,,,,,S
cagl,406,1.1,9.4,40566,1,,,,,,,S
fagr,406,1.6,7.2,40567,1,,,,,,,S
fagr,406,0.1,5.2,40568,1,,,,,,,S
litu,407,5.6,1.7,40569,1,,,,,,,S
cagl,408,18.7,1.0,40635,1,,,,,,,S
qual,412,14.4,14.4,40875,1,,,,,,,S
litu,414,6.0,15.4,40941,1,,,,,,,S
acru,414,2.2,2.0,40942,1,,,,,,,S
litu,415,7.2,9.6,40972,2,,,,,,,N
ploc,417,4.1,19.2,42009,1,,,,,,,N
quru,424,12.3,18.6,42270,1,,,,,,,N
quru,428,10.4,5.5,42397,1,,,,,,,N
quru,431,15.2,0.4,42562,1,,,,,,,N
fram,502,7.4,11.0,50160,1,,,,,,,S
quru,505,10.8,10.6,50288,1,,,,,,,S
qual,507,4.2,18.1,50364,1,,,,,,,S
litu,514,19.5,14.9,50650,1,,,,,,,S
litu,514,17.2,19.1,50654,1,,,,,,,S
quru,519,1.1,11.1,52087,1,,,,,,,N
quru,522,16.4,3.4,52190,1,,,,,,,N
quve,525,7.3,10.7,52276,1,,,,,,,N
qupr,608,17.5,14.1,60161,1,,,,,,,S
quru,611,4.2,0.0,60414,1,,,,,,,S
caca,614,5.3,15,60456,1,,,,,,,S
caca,614,4,15.2,60457,1,,,,,,,S
fagr,615,1.9,0,60458,1,,,,,,,S
fagr,615,2,3,60459,1,,,,,,,S
fagr,615,5.6,7.6,60462,1,,,,,,,S
juni,615,7.2,8,60463,1,,,,,,,S
caca,615,5.4,9.6,60468,1,,,,,,,S
cofl,615,6.8,9.8,60469,1,,,,,,,S
fagr,614,19,8.7,60562,1,,,,,,,S
caca,614,14.2,13.2,60563,1,,,,,,,S
fagr,614,10,11,60566,1,,,,,,,S
litu,614,11.6,11.2,60567,1,,,,,,,S
caca,614,15.5,15.6,60568,1,,,,,,,S
caca,614,19.4,16.2,60569,1,,,,,,,S
caco,614,15.2,16.7,60570,1,,,,,,,S
caca,614,12,17.4,60571,1,,,,,,,S
tiam,614,8.5,16.3,60573,1,,,,,,,S
caca,615,17.1,1,60576,1,,,,,,,S
litu,615,12.7,1.4,60577,1,,,,,,,S
caca,615,13.2,9.9,60578,1,,,,,,,S
caca,615,16.8,4,60579,1,,,,,,,S
litu,615,19.8,9.3,60581,1,,,,,,,S
quru,615,20,10.2,60582,1,,,,,,,S
caca,615,16.2,9.3,60586,1,,,,,,,S
caca,615,14,9.8,60587,1,,,,,,,S
caco,615,13.4,7.3,60588,1,,,,,,,S
quru,620,8.0,0.8,62128,1,,,,,,,N
quve,621,8.8,13.5,62181,1,,,,,,,N
litu,622,3.2,17.3,62224,1,,,,,,,N
litu,623,13.9,0.7,62241,1,,,,,,,N
quve,630,8.9,17.0,62417,1,,,,,,,N
qual,632,18.7,3.9,62449,1,,,,,,,N
quve,632,14.7,18.8,62454,1,,,,,,,N
quru,704,3.3,12.7,70096,1,,,,,,,S
quru,705,9.3,12.5,70126,1,,,,,,,S
litu,707,13.3,17.2,70181,1,,,,,,,S
quve,701,18.7,11.6,70216,1,,,,,,,S
qual,702,18.3,0.8,70220,1,,,,,,,S
