tag,stemtag,sp,quadrat,survey.ID,measure,notes,field.recorders,tag_issue
40635,1,cagl,408,2021.01,49.13,cato,"Bill McShea, Jessica Shue",FALSE
70579,1,caco,714,2021.01,39.08,cato,"Bill McShea, Jessica Shue",FALSE
72248,1,caco,723,2021.01,71.145,"band removed; cagl, cagl; new band window is short","Bill McShea, Jessica Shue",FALSE
80180,1,cato,804,2021.01,34.67,quve; double-checked,"Bill McShea, Jessica Shue",FALSE
110798,1,qupr,1104,2021.01,43.58,litu,"Bill McShea, Jessica Shue",FALSE
120790,1,litu,1205,2021,12.91,"coordinates wrong; qx 0.5, qy 6.5",Jessica Shue,FALSE
