"tag","stemtag","sp","quadrat","lx","ly","installdate","dbhnew","dendHt","dendDiam","measure","codes","notes","surveyor"
"10469","1","litu","109","9.7","1"," "," "," "," "," "," "," "," "
"10587","1","litu","113","2.6","13"," "," "," "," "," "," "," "," "
"10609","1","cagl","111","19.5","2.9"," "," "," "," "," "," "," "," "
"10671","1","quru","114","6.2","14.5"," "," "," "," "," "," "," "," "
"12025","1","quru","117","15","16.3"," "," "," "," "," "," "," "," "
"12101","1","quru","120","10.7","1.9"," "," "," "," "," "," "," "," "
"12259","1","litu","125","16.3","1.5"," "," "," "," "," "," "," "," "
"12270","1","tiam","125","19.4","19.6"," "," "," "," "," "," "," "," "
"12308","1","caca","126","11.7","0.6"," "," "," "," "," "," "," "," "
"12508","1","litu","131","10.7","10.4"," "," "," "," "," "," "," "," "
"20432","1","fram","204","3.5","19.8"," "," "," "," "," "," "," "," "
"20587","1","litu","208","14.8","1.3"," "," "," "," "," "," "," "," "
"20603","1","fram","208","6","12.8"," "," "," "," "," "," "," "," "
"20617","1","litu","209","6.9","7.6"," "," "," "," "," "," "," "," "
"20712","1","litu","212","1.5","8.3"," "," "," "," "," "," "," "," "
"22004","2","litu","217","11.4","1.7"," "," "," "," "," "," "," "," "
"22041","1","litu","217","1.8","19"," "," "," "," "," "," "," "," "
"22170","1","litu","221","7.9","13.8"," "," "," "," "," "," "," "," "
"22333","1","fram","226","5.5","2.7"," "," "," "," "," "," "," "," "
"30039","1","fram","302","4.6","2.7"," "," "," "," "," "," "," "," "
"30225","1","qual","306","20","3.1"," "," "," "," "," "," "," "," "
"30233","1","fagr","306","15.6","16.2"," "," "," "," "," "," "," "," "
"30234","1","fagr","306","15.3","18.5"," "," "," "," "," "," "," "," "
"30331","1","cagl","306","8.3","19.5"," "," "," "," "," "," "," "," "
"30333","1","fagr","306","14","19.3"," "," "," "," "," "," "," "," "
"30339","1","litu","307","8.6","4.1"," "," "," "," "," "," "," "," "
"30339","2","litu","307","8.6","4.1"," "," "," "," "," "," "," "," "
"30339","3","litu","307","8.6","4.1"," "," "," "," "," "," "," "," "
"30343","1","quru","307","17.9","8"," "," "," "," "," "," "," "," "
"30365","1","fram","308","19.6","1.8"," "," "," "," "," "," "," "," "
"30462","1","litu","313","16.2","19"," "," "," "," "," "," "," "," "
"30467","1","litu","314","17.3","3"," "," "," "," "," "," "," "," "
"30512","1","quru","313","2.9","14.3"," "," "," "," "," "," "," "," "
"30584","1","quve","316","2.2","14.4"," "," "," "," "," "," "," "," "
"32084","1","litu","319","6.5","11.5"," "," "," "," "," "," "," "," "
"32097","1","litu","320","17.9","3"," "," "," "," "," "," "," "," "
"32126","1","litu","321","9.6","5"," "," "," "," "," "," "," "," "
"32381","1","qupr","327","4.6","12.8"," "," "," "," "," "," "," "," "
"32423","1","litu","329","17.6","13.1"," "," "," "," "," "," "," "," "
"32540","1","qupr","332","19.9","15.6"," "," "," "," "," "," "," "," "
