tag,stemtag,sp,quadrat,biannual,intraannual,cored,treeID,stemID,dendro.start.date,dendro.end.date,mortality.year,tree.notes,lx,ly,gx,gy,NAD83_X,NAD83_Y,lat,lon
10469,1,litu,109,1,0,0,1419,1419,27-Jan-10,NA,NA,,9.7,1,9.699999809,161,747391.4833,4308667.62,38.89206897,-78.14759405
10587,1,litu,113,1,0,0,1526,1526,27-Jan-10,NA,NA,,2.6,13,2.599999905,253,747382.2509,4308759.43,38.8928979,-78.1476673
10609,1,cagl,111,1,0,0,1548,1548,27-Jan-10,NA,NA,,19.5,2.9,19.5,202.8999939,747400.3086,4308709.736,38.89244555,-78.14747723
10671,1,quru,114,1,1,0,1609,1609,27-Jan-10,NA,NA,,6.2,14.5,6.199999809,274.5,747385.3511,4308781.008,38.89309123,-78.14762382
12025,1,quru,117,1,1,0,1713,1713,24-Mar-11,NA,NA,,15,16.3,5,336.2999878,747382.7177,4308842.763,38.89364779,-78.1476319
12101,1,quru,120,1,0,0,1786,1786,27-Jan-10,19-Mar-13,2013,,10.7,1.9,10.69999981,381.8999939,747387.3583,4308888.483,38.89405798,-78.14756198
12259,1,litu,125,1,0,0,1934,1934,27-Jan-10,NA,NA,,16.3,1.5,16.29999924,481.5,747390.6462,4308988.187,38.89495442,-78.14748819
12270,1,tiam,125,1,0,0,1942,1942,27-Jan-10,NA,NA,,19.4,19.6,19.39999962,499.6000061,747393.3254,4309006.354,38.89511717,-78.14745078
12308,1,caca,126,1,0,0,1977,1977,27-Jan-10,18-Apr-17,2017,,11.7,0.6,11.69999981,500.6000061,747385.6043,4309007.175,38.89512674,-78.14753941
12508,1,litu,131,1,0,0,2157,2157,27-Jan-10,NA,NA,,10.7,10.4,10.69999981,610.4000244,747382.0573,4309116.922,38.8961155,-78.14754072
20432,1,fram,204,1,0,1,2661,2661,27-Jan-10,18-Apr-17,2017,,3.5,19.8,23.5,79.80000305,747407.1634,4308586.762,38.89133681,-78.1474426
20587,1,litu,208,1,0,0,2778,2778,27-Jan-10,NA,NA,,14.8,1.3,34.79999924,141.3000031,747417.0336,4308648.507,38.89188976,-78.14730668
20603,1,fram,208,1,0,0,2793,2793,27-Jan-10,NA,NA,,6,12.8,26,152.8000031,747407.9692,4308659.8,38.89199395,-78.147407
20617,1,litu,209,1,0,0,2807,2807,27-Jan-10,NA,NA,,6.9,7.6,26.89999962,167.6000061,747408.5256,4308674.617,38.89212715,-78.14739526
20712,1,litu,212,1,0,0,2897,2897,27-Jan-10,NA,NA,,1.5,8.3,21.5,228.3000031,747401.7188,4308735.175,38.89267411,-78.14745183
22004,2,litu,217,1,0,0,3037,32560,24-Mar-11,NA,NA,,11.4,1.7,28.60000038,321.7000122,747406.6501,4308828.715,38.89351461,-78.14736133
22041,1,litu,217,1,0,0,3072,3072,27-Jan-10,NA,NA,,1.8,19,21.79999924,339,747399.4506,4308845.853,38.89367088,-78.14743807
22170,1,litu,221,1,0,0,3197,3197,27-Jan-10,NA,NA,,7.9,13.8,27.89999962,413.7999878,747403.8136,4308920.774,38.89434397,-78.14736083
22333,1,fram,226,1,0,0,3354,3354,27-Jan-10,NA,NA,,5.5,2.7,25.5,502.7000122,747399.3519,4309009.594,38.89514464,-78.14738021
30039,1,fram,302,1,0,1,3702,3702,27-Jan-10,18-Apr-17,2017,,4.6,2.7,44.59999847,22.70000076,747429.5824,4308530.167,38.89082112,-78.1472048
30225,1,qual,306,1,1,0,3866,3866,3-Jun-13,NA,NA,,20,3.1,60,103.0999985,747443.113,4308610.902,38.89154396,-78.14701988
30233,1,fagr,306,1,1,1,3874,3874,27-Jan-10,NA,NA,,15.6,16.2,55.59999847,116.1999969,747438.4103,4308623.897,38.89166224,-78.14706936
30234,1,fagr,306,1,1,0,3875,3875,3-Jun-13,NA,NA,,15.3,18.5,55.29999924,118.5,747438.057,4308626.189,38.89168297,-78.1470726
30331,1,cagl,306,1,1,0,3967,3967,3-Jun-13,NA,NA,,8.3,19.5,48.29999924,119.5,747431.0357,4308627.026,38.89169248,-78.14715316
30333,1,fagr,306,1,1,1,3969,3969,3-Jun-13,NA,NA,,14,19.3,54,119.3000031,747436.7388,4308626.959,38.89169027,-78.14708751
30339,1,litu,307,1,1,0,3975,3975,13-Mar-13,NA,NA,,8.6,4.1,48.59999847,124.0999985,747431.2289,4308631.632,38.89173388,-78.14714928
30339,2,litu,307,1,1,0,3975,32681,13-Mar-13,NA,NA,,8.6,4.1,48.59999847,124.0999985,747431.2289,4308631.632,38.89173388,-78.14714928
30339,3,litu,307,1,1,0,3975,37149,13-Mar-13,NA,NA,,8.6,4.1,48.59999847,124.0999985,747431.2289,4308631.632,38.89173388,-78.14714928
30343,1,quru,307,1,1,1,3979,3979,3-Jun-13,5-Apr-16,2016,,17.9,8,57.90000153,128,747440.4359,4308635.747,38.89176832,-78.14704176
30365,1,fram,308,1,0,0,,,27-Jan-10,NA,NA,,19.6,1.8,,,,,,
30462,1,litu,313,1,0,0,4091,4091,27-Jan-10,NA,NA,,16.2,19,56.20000076,259,747435.6973,4308766.672,38.89294803,-78.14704916
30467,1,litu,314,1,1,0,4096,4096,27-Jan-10,NA,NA,,17.3,3,57.29999924,263,747436.7042,4308770.697,38.89298397,-78.14703611
30512,1,quru,313,1,1,0,4137,4137,27-Jan-10,NA,NA,,2.9,14.3,42.90000153,254.3000031,747422.5099,4308761.665,38.89290667,-78.14720284
30584,1,quve,316,1,0,0,4207,4207,27-Jan-10,NA,NA,,2.2,14.4,42.20000076,314.3999939,747420.4158,4308821.732,38.89344789,-78.14720531
32084,1,litu,319,1,0,0,4313,8257,27-Jan-10,8-Mar-18,2018,,6.5,11.5,46.5,331.5,747424.3179,4308838.928,38.89360155,-78.14715417
32097,1,litu,320,1,0,0,4326,4326,27-Jan-10,NA,NA,,17.9,3,57.90000153,383,747434.5201,4308890.678,38.89406445,-78.14701803
32126,1,litu,321,1,1,0,4355,4355,27-Jan-10,NA,NA,,9.6,5,49.59999847,405,747425.7119,4308912.48,38.89426316,-78.14711161
32381,1,qupr,327,1,0,1,4606,4606,27-Jan-10,NA,NA,,4.6,12.8,44.59999847,532.7999878,747417.7484,4309040.129,38.89541429,-78.14715733
32423,1,litu,329,1,0,0,4647,4647,27-Jan-10,NA,NA,,17.6,13.1,57.59999847,573.0999756,747429.81,4309080.72,38.89577622,-78.14700379
32540,1,qupr,332,1,0,0,4760,4760,27-Jan-10,NA,NA,,19.9,15.6,59.90000153,635.5999756,747430.6594,4309143.257,38.89633883,-78.14697146
40562,1,fagr,406,1,1,0,5039,5039,3-Jun-13,NA,NA,,6.3,16.2,66.30000305,116.1999969,747449.1074,4308624.145,38.89166146,-78.14694608
40563,1,fagr,406,1,1,1,5040,5040,3-Jun-13,NA,NA,,3.6,17.8,63.59999847,117.8000031,747446.371,4308625.682,38.89167606,-78.14697704
40564,1,fagr,406,1,1,0,5041,5041,3-Jun-13,NA,NA,,2.4,12.4,62.40000153,112.4000015,747445.2966,4308620.255,38.89162753,-78.14699137
40565,1,cagl,406,1,1,0,5042,5042,3-Jun-13,NA,NA,,1.9,10.1,61.90000153,110.0999985,747444.8501,4308617.944,38.89160685,-78.14699734
40566,1,cagl,406,1,1,0,5043,5043,3-Jun-13,NA,NA,,1.1,9.4,61.09999847,109.4000015,747444.0666,4308617.226,38.89160061,-78.14700662
