"year","n.surveys","biannual.all","biannual.live","biannual.dead","biannual.added","intraannual.all","intraannual.live","intraannual.dead","intraannual.added"
2010,1,242,242,0,242,55,55,0,55
2011,23,504,503,13,262,106,105,3,51
2012,18,523,513,5,19,106,102,2,0
2013,16,578,564,11,55,155,150,1,49
2014,14,578,559,3,0,155,149,0,0
2015,13,578,552,9,0,155,149,0,0
2016,15,578,543,1,0,155,149,1,0
2017,12,578,541,18,0,155,148,2,0
2018,14,578,523,11,0,155,146,0,0
