sp,quadrat,lx,ly,tag,stemtag,census#,exactdate,measure,codes,status,notes,N/S
quru,114,6.2,14.5,10671,1,,,,,,,S 
quru,117,15,16.3,12025,1,,,,,,,N 
qual,306,20,3.1,30225,1,,,,SC,,,S 
fagr,306,15.6,16.2,30233,1,,,,SC,,,S 
fagr,306,15.3,18.5,30234,1,,,,SC,,,S 
cagl,306,8.3,19.5,30331,1,,,,SC,,,S 
fagr,306,14,19.3,30333,1,,,,SC,,,S 
litu,307,8.6,4.1,30339,1,,,,SC,,,S 
litu,307,8.6,4.1,30339,2,,,,SC,,,S 
litu,307,8.6,4.1,30339,3,,,,SC,,,S 
quru,307,17.9,8,30343,1,,,,sap cluster - DEAD,,,S 
litu,314,17.3,3,30467,1,,,,,,,S 
quru,313,2.9,14.3,30512,1,,,,,,,S 
litu,321,9.6,5,32126,1,,,,,,,N 
fagr,406,6.3,16.2,40562,1,,,,SC,,,S 
fagr,406,3.6,17.8,40563,1,,,,SC,,,S 
fagr,406,2.4,12.4,40564,1,,,,SC,,,S 
cagl,406,1.9,10.1,40565,1,,,,SC,,,S 
cagl,406,1.1,9.4,40566,1,,,,SC,,,S 
fagr,406,1.6,7.2,40567,1,,,,SC,,,S 
fagr,406,0.1,5.2,40568,1,,,,SC,,,S 
litu,407,5.6,1.7,40569,1,,,,SC,,,S 
qual,412,14.4,14.4,40875,1,,,,sap cluster - DEAD,,,S 
quru,424,12.3,18.6,42270,1,,,,sap cluster-DEAD,,,N 
qual,507,4.2,18.1,50364,1,,,,,,,S 
litu,514,19.5,14.9,50650,1,,,,SC,,,S 
litu,514,17.2,19.1,50654,1,,,,SC,,,S 
quru,522,16.4,3.4,52190,1,,,,,,,N 
quru,611,4.2,0,60414,1,,,,sap cluster- DEAD,,,S 
caca,614,5.3,15,60456,1,,,,SC,,,S 
caca,614,4,15.2,60457,1,,,,SC,,,S 
fagr,615,1.9,0,60458,1,,,,SC,,,S 
fagr,615,2,3,60459,1,,,,SC,,,S 
fagr,615,5.6,7.6,60462,1,,,,SC,,,S 
juni,615,7.2,8,60463,1,,,,SC,,,S 
caca,615,5.4,9.6,60468,1,,,,SC,,,S 
cofl,615,6.8,9.8,60469,1,,,,SC,,,S 
fagr,614,19,8.7,60562,1,,,,SC,,,S 
caca,614,14.2,13.2,60563,1,,,,SC,,,S 
fagr,614,10,11,60566,1,,,,SC,,,S 
litu,614,11.6,11.2,60567,1,,,,SC,,,S 
caca,614,15.5,15.6,60568,1,,,,SC,,,S 
caca,614,19.4,16.2,60569,1,,,,SC,,,S 
caco,614,15.2,16.7,60570,1,,,,sap cluster - DEAD,,,S 
caca,614,12,17.4,60571,1,,,,SC,,,S 
tiam,614,8.5,16.3,60573,1,,,,SC,,,S 
caca,615,17.1,1,60576,1,,,,SC,,,S 
litu,615,12.7,1.4,60577,1,,,,SC,,,S 
caca,615,13.2,9.9,60578,1,,,,SC,,,S 
caca,615,16.8,4,60579,1,,,,sap cluster -DEAD,,,S 
litu,615,19.8,9.3,60581,1,,,,SC,,,S 
quru,615,20,10.2,60582,1,,,,SC,,,S 
caca,615,16.2,9.3,60586,1,,,,SC,,,S 
caca,615,14,9.8,60587,1,,,,SC,,,S 
caco,615,13.4,7.3,60588,1,,,,SC,,,S 
quru,620,8,0.8,62128,1,,,,,,,N 
litu,622,3.2,17.3,62224,1,,,,,,,N 
quru,704,3.3,12.7,70096,1,,,,,,,S 
quru,705,9.3,12.5,70126,1,,,,,,,S 
qual,702,18.3,0.8,70220,1,,,,,,,S 
nysy,714,0.1,11.2,70492,1,,,,SC,,,S 
litu,714,0.3,15.2,70493,1,,,,SC,,,S 
caca,714,0.4,15.7,70494,1,,,,SC,,,S 
caca,714,0.4,15.7,70494,2,,,,SC,,,S 
caca,714,1.7,18.6,70495,1,,,,SC,,,S 
qual,711,15.5,3.3,70519,1,,,,,,,S 
qual,711,11.9,7.4,70536,1,,,,,,,S 
quru,714,13.7,1.2,70581,1,,,,,,,S 
litu,719,14.4,10.8,72116,1,,,,,,,N 
quru,719,12.5,19.4,72124,1,,,,,,,N 
qual,721,5.2,11.5,72210,1,,,,,,,N 
qual,725,15.2,13.3,72308,1,,,,,,,N 
litu,726,14.4,6.6,72324,1,,,,,,,N 
quru,727,7.9,2.6,72337,1,,,,,,,N 
quru,727,12,15.1,72348,1,,,,,,,N 
quru,728,1.7,2,72357,1,,,,,,,N 
qual,730,4.8,9.9,72408,1,,,,DEAD 2011,,,N 
litu,730,3.6,19.4,72427,1,,,,,,,N 
quru,811,7.5,3,80628,1,,,,,,,S 
litu,822,8,9.4,82203,1,,,,,,,N 
litu,829,2.3,0.7,82360,1,,,,,,,N 
qual,829,4.9,4.7,82365,1,,,,,,,N 
litu,831,6.9,19.5,82422,1,,,,,,,N 
quru,910,10.7,14,90612,1,,,,,,,S 
quru,913,4.9,7.9,90660,1,,,,,,,S 
qual,916,12.4,7.4,90752,1,,,,,,,N 
litu,908,19.3,3.5,91477,1,,,,,,,S 
quru,920,17.6,0.3,92139,1,,,,,,,N 
qual,922,20.1,19.1,92234,1,,,,DEAD 2011,,,N 
quru,1005,3.8,6.8,100754,1,,,,,,,S 
quru,1005,8.5,17,100771,1,,,,,,,S 
litu,1008,10,1.6,100905,1,,,,,,,S 
quru,1010,13.8,10.5,100960,1,,,,,,,S 
qual,1020,3.4,11.7,102177,1,,,,,,,N 
qual,1022,10.3,17.4,102258,1,,,,,,,N 
qual,1022,5.3,20.1,102261,1,,,,,,,N 
qual,1022,1.8,21.1,102262,1,,,,,,,N 
qual,1022,1.5,14.2,102264,1,,,,,,,N 
qual ,1025,16.5,11.5,102348,1,,,,,,,N 
qual,1025,2.1,18,102364,1,,,,,,,N 
litu,1101,17,10,110061,1,,,,,,,S 
litu,1104,19.9,11.7,110788,1,,,,,,,S 
litu,1104,11.3,10,110791,1,,,,,,,S 
litu,1105,20,4.1,110901,1,,,,,,,S 
litu,1107,15.1,19.9,111030,1,,,,,,,S 
qual,1120,13.4,3.9,112137,1,,,,,,,N 
quru,1123,17.5,1.5,112262,1,,,,,,,N 
qual,1125,17,13.8,112336,1,,,,,,,N 
litu,1131,17.8,15.9,112482,1,,,,,,,N 
litu,1205,3,2.2,120781,1,,,,,,,S 
quru,1211,12.4,0.4,121195,1,,,,,,,S 
litu,1207,1.7,19.3,121221,1,,,,,,,S 
quru,1211,1.1,11.2,121305,1,,,,,,,S 
qual,1219,10.7,17.3,122130,1,,,,DEAD 2013,,,N 
quru,1220,5.5,7.6,122136,1,,,,,,,N 
qual,1222,5.5,19.5,122189,1,,,,,,,N 
qual,1223,1.9,8.5,122303,1,,,,,,,N 
qual,1225,10.7,14.4,122343,1,,,,,,,N 
qual,1227,17,15.6,122427,1,,,,,,,N 
litu,1228,14.5,2.4,122482,1,,,,,,,N 
litu,1305,12.2,1,130838,1,,,,,,,S 
quru,1310,17.3,17.8,131087,1,,,,,,,S 
quru,1314,19.5,5.7,131239,1,,,,,,,S 
qual,1319,9.9,15.9,132077,1,,,,,,,N 
litu,1331,15,15.9,132539,1,,,,,,,N 
quru,1408,9.9,1.5,140751,1,,,,,,,S 
litu,1411,8,5.9,140825,1,,,,,,,S 
qual,1425,6.8,13.1,142380,1,,,,,,,N 
litu,1431,4.7,14.7,142729,1,,,,,,,N 
litu,1607,8.6,1.1,160910,1,,,,,,,S 
litu,1612,1.2,17.2,160985,1,,,,,,,S 
quru,1627,16.3,0.3,162439,1,,,,,,,N 
qual,1627,7.5,16.6,162543,1,,,,,,,N 
quru,1717,17.1,1.8,172202,1,,,,,,,N 
qual,1717,15.5,0.3,172203,1,,,,,,,N 
qual,1720,9.9,1.3,172255,1,,,,,,,N 
quru,1728,11.1,12,172470,1,,,,,,,N 
qual,1730,17,3.1,172499,1,,,,,,,N 
qual,1816,5.4,10.6,181030,1,,,,,,,N 
litu,1902,19,2.2,190067,1,,,,,,,S 
litu,1904,14.7,4.6,190413,1,,,,,,,S 
quru,1909,18.2,14.7,190694,1,,,,,,,S 
quru,1916,19.1,19.7,190838,1,,,,,,,N 
qual,1919,18.1,16.8,192244,1,,,,,,,N 
litu,1925,17,11.5,192437,1,,,,,,,N 
quru,1926,13.3,1.7,192466,1,,,,,,,N 
quru,1926,17.4,11.2,192484,1,,,,,,,N 
litu,1929,18.9,3.8,192542,1,,,,,,,N 
litu,1929,14.4,1.8,192544,1,,,,,,,N 
qual,1930,12.9,19.5,192560,1,,,,,,,N 
quru,1926,12.6,8.5,192619,1,,,,,,,N 
litu,2002,1.3,3.5,200142,1,,,,,,,S 
litu,2005,1,5.3,200551,1,,,,,,,S 
qual,2020,2.1,10.8,202072,1,,,,,,,N 
qual,2017,5.5,11.7,202215,1,,,,,,,N 
