X112,X120,X124,X130,X134,X139,X144,X148,X153,X158,X165,X172,X179,X187,X190,X193,X200,X207,X214,X217,X221,X225,X228,X232,X237,X244,X251,X256,X263,X270,X285,X291,X301
54.5392676429,54.5440422912,54.5542282076,54.5640958141,54.6131155365,54.6627718788,54.7047887837,54.74330428,54.8311578086,54.8862254189,54.9476592269,54.9581634532,55.0141859931,55.0406057137,55.0488817707,55.1087240293,55.1825719229,55.2112198127,55.2077184039,55.2093099534,55.210264883,55.2478254496,55.2526000979,55.2624677043,55.260557845,55.2580113659,55.2430508013,55.249416999,55.2433691112,55.2548282671,55.2742451701,55.2596029154,55.2624677043
48.5246253882,48.5507267988,48.5647324338,48.5847859567,48.6325324396,48.6735944149,48.6971493465,48.7226141374,48.7649493522,48.7980535804,48.8222451318,48.8524845709,48.885907109,48.8913183771,48.8868620386,48.922194436,48.9543437345,48.9451127478,48.9377916204,48.9295155634,48.9151916185,48.9603916224,48.9603916224,48.9689859893,48.9664395102,48.953070495,48.9377916204,48.9568902136,48.9594366927,48.964211341,48.9632564113,48.9623014817,48.9814000748
22.5193662073,22.5238225457,22.5219126864,22.5225493062,22.5200028271,22.5107718404,22.5177746579,22.5215943765,22.523185926,22.5254140952,22.5260507149,22.5365549412,22.5467408575,22.5473774773,22.5461042378,22.5502422663,22.5591549431,22.5613831123,22.5620197321,22.5604281826,22.5610648024,22.5632929716,22.5636112815,22.5661577606,22.5674310001,22.5741155077,22.5744338176,22.5865295933,22.5909859317,22.5884394526,22.5897126922,22.5941690306,22.5909859317
16.4847859567,16.4844676468,16.4828760973,16.4847859567,16.4857408863,NA,16.4873324357,16.4863775061,16.4851042665,16.4841493369,16.4847859567,16.4863775061,16.4863775061,16.4844676468,16.4844676468,16.4889239852,16.4917887742,16.4917887742,16.5013380707,16.4898789148,16.489560605,16.4917887742,16.4924253939,16.4924253939,16.5029296202,16.5013380707,16.5042028597,16.5000648312,16.5022930004,16.5045211696,16.5070676487,16.5051577894,16.5073859586
NA,16.1173549565,16.1144901675,16.1141718577,16.116081717,16.1128986181,16.1202197455,16.1141718577,16.1135352379,16.1176732664,16.1144901675,16.116081717,16.1157634071,16.1151267873,16.1135352379,16.1148084774,16.1141718577,16.1141718577,16.1211746752,16.1122619983,16.1097155193,16.1109887588,16.1119436885,16.1148084774,16.1148084774,16.1246760839,16.1227662246,16.1230845345,16.124357774,16.1179915763,16.1157634071,16.1176732664,16.1154450972
14.3148084774,14.3154450972,14.3138535478,14.3119436885,14.3151267873,14.3138535478,14.3154450972,14.3135352379,14.3167183368,14.316081717,14.3144901675,14.3157634071,14.316081717,14.3157634071,14.3157634071,14.3170366466,14.318946506,14.3192648158,14.3202197455,14.3173549565,14.3173549565,14.3192648158,14.3195831257,14.3195831257,14.3237211542,14.3227662246,14.3240394641,14.3262676333,14.3265859432,14.3297690421,14.3275408729,14.3304056619,14.3307239717
25.8354620598,25.8370536092,25.8373719191,25.837690229,25.8529691035,25.8752507955,25.8816169933,25.8867099514,25.9010338963,25.913129672,25.9303184058,25.9631043241,25.9965268622,26.0149888356,26.0286761607,26.0649634877,26.0996592653,26.1104818014,26.1136649003,26.1101634915,26.1108001113,26.1222592672,26.1232141969,26.125760676,26.1289437748,26.1308536341,26.131171944,26.131171944,26.1321268737,26.1346733528,26.1556818053,26.1512254669,26.1512254669
14.5674310001,14.5687042397,14.56774931,14.5690225496,14.5680676199,14.5687042397,14.5690225496,NA,NA,14.5696591693,14.5693408594,14.570614099,14.5693408594,14.5709324089,14.5709324089,14.5718873385,14.5731605781,14.5741155077,14.5731605781,14.5731605781,14.5731605781,14.5741155077,14.5737971979,14.5741155077,14.5744338176,14.5747521275,14.5769802967,14.5776169165,14.5782535363,14.5760253671,14.5763436769,14.5776169165,14.5747521275
14.5093465136,14.5074366543,14.5087098939,14.5080732741,14.5103014433,NA,14.5077549642,14.5061634148,14.508391584,14.5096648235,14.5087098939,14.5087098939,14.5064817247,14.5068000345,14.5061634148,14.508391584,14.5112563729,14.5109380631,14.5128479224,14.5103014433,14.5099831334,14.5118929927,14.5118929927,14.5125296125,14.5157127114,14.5147577817,14.5163493311,14.5182591904,14.5217605992,14.5201690498,14.522397219,14.522397219,14.5230338387
25.568450761,25.5916873827,25.6041014682,25.6282930196,25.6413437249,25.6477099226,25.6674451356,25.6693549949,25.6960930253,25.727924014,25.7486141566,25.7594366927,25.76707613,25.7661212003,25.7664395102,25.775352187,25.7788535958,25.7737606376,25.7737606376,25.7734423277,25.7750338771,25.7794902155,25.7801268353,25.7804451452,25.7826733144,25.7807634551,25.7842648638,25.7925409209,25.7925409209,25.800498668,25.7989071186,25.7985888087,25.8043183866
23.3789042915,23.3817690805,23.3798592212,23.3798592212,23.3925916166,23.405324012,23.4062789417,23.4123268295,23.4228310558,23.4346085216,23.4311071128,23.464211341,23.4906310615,23.4998620482,23.5049550064,23.5339212061,23.5552479684,23.5622507859,23.5612958563,23.5609775464,23.5609775464,23.5800761396,23.581667689,23.5858057175,23.5851690977,23.5842141681,23.5848507879,23.5915352955,23.589943746,23.5959916339,23.6058592403,23.6055409305,23.6055409305
10.810352139,10.8090788995,10.8087605896,10.8100338291,10.8093972094,10.8093972094,10.8097155193,10.8081239698,10.8097155193,10.8097155193,10.8090788995,10.8100338291,10.8093972094,10.8093972094,10.8093972094,10.810352139,10.8106704489,10.8116253786,10.8116253786,10.810352139,10.8106704489,10.8106704489,10.8106704489,10.8116253786,10.8116253786,10.8144901675,10.8183098862,10.8176732664,10.8173549565,10.8167183368,10.816081717,10.8173549565,10.8170366466
103.3557042301,103.395174656,103.4072704316,103.4066338119,103.4184112777,103.4403746598,103.4502422663,103.4534253651,103.4680676199,103.478890156,103.4776169165,103.4801633956,103.49576058,103.4737971979,103.4747521275,103.4954422701,103.5205887511,103.5240901599,103.5260000192,103.5231352302,103.5189972017,103.5250450895,103.5288648082,103.5345943861,103.5371408652,103.5498732607,103.5234535401,103.5352310059,103.5272732587,103.5508281903,103.5737465021,103.5667436846,103.5683352341
47.6763436769,47.670614099,47.6753887473,47.6932141009,47.698625369,47.704036637,47.7116760743,47.7049915667,47.7422338234,47.7463718519,47.7664253747,47.7772479109,47.7902986162,47.7915718557,47.7934817151,47.7995296029,47.8100338291,47.810352139,47.8097155193,47.810352139,47.8097155193,47.8144901675,47.8167183368,47.8179915763,47.8167183368,47.8202197455,47.8208563653,47.8237211542,47.8269042531,47.827222563,47.8310422816,47.8329521409,47.8319972113
